Domain,Web_Traffic,Have_At,SubDomain,Prefix/Suffix,Have_IP,URL_Depth,Redirection,TinyURL,Digit_count,Domain_Age,Label
youtube.com,0,0,0,0,0,2,0,0,0,0,0
filmreference.com,0,0,0,0,0,3,0,0,2,0,0
yelp.com,0,0,0,0,0,2,0,0,0,0,0
allhighschools.com,0,0,0,0,0,3,0,0,9,0,0
fanbase.com,0,0,0,0,0,1,0,0,6,0,0
beemp3.com,0,0,0,0,0,1,0,0,8,0,0
thechive.com,0,0,0,0,0,4,0,0,10,0,0
kickass.to,1,0,0,0,0,1,0,0,14,1,0
tulsaokhistory.com,0,0,0,0,0,2,0,0,1,0,0
youtube.com,0,0,0,0,0,1,0,0,0,0,0
amazon.ca,0,0,0,0,0,2,0,0,15,0,0
virginiadavis.us,1,0,0,0,0,0,0,0,0,0,0
stats.sympatico.ca,0,0,0,0,0,2,0,0,4,0,0
absoluteastronomy.com,0,0,0,0,0,2,0,0,1,0,0
mobikefed.org,0,0,0,0,0,2,0,0,0,0,0
torrentdn.com,0,0,0,0,0,2,0,0,10,0,0
sportsmediablog.dallasnews.com,0,0,0,0,0,4,0,0,6,0,0
legis.state.pa.us,0,0,1,0,0,5,0,0,4,0,0
search.hollywood.com,0,0,0,0,0,2,0,0,2,0,0
hollywoodlife.com,0,0,0,0,0,4,0,0,8,0,0
thefreelibrary.com,0,0,0,0,0,1,0,0,14,0,0
mylust.com,0,0,0,0,0,3,0,1,6,0,0
flymkc.com,0,0,0,0,0,0,0,0,0,0,0
askubuntu.com,0,0,0,0,0,3,0,0,6,1,0
blog.scena.org,0,0,0,0,0,3,0,0,6,0,0
usatoday.com,0,0,0,0,0,4,0,0,10,0,0
ic.arizona.edu,0,0,0,0,0,4,0,0,3,1,0
discogs.com,0,0,0,0,0,3,0,0,11,0,0
twitpic.com,0,0,0,0,0,1,0,0,2,0,0
123people.ca,0,0,0,0,0,2,0,0,3,0,0
yelp.com,0,0,0,0,0,2,0,0,0,0,0
tripadvisor.com,0,0,0,0,0,1,0,0,10,1,0
steveandlily.com,1,0,0,0,0,0,0,0,0,1,0
ilike.com,0,0,0,0,0,4,0,0,0,0,0
wordiq.com,0,0,0,0,0,2,0,0,0,0,0
horsepigcow.com,0,0,0,0,0,3,0,0,6,0,0
comfibook.com,0,0,0,0,0,2,0,0,0,0,0
amazon.com,0,0,0,0,0,3,0,0,10,0,0
imdb.com,0,0,0,0,0,3,0,0,7,0,0
content.usatoday.com,0,0,0,0,0,7,0,0,7,0,0
relapse.com,0,0,0,0,0,1,0,0,1,0,0
upmystreet.com,0,0,0,0,0,3,0,1,7,0,0
thebesnardlakes.com,0,0,0,0,0,0,0,0,0,0,0
houseofsparky.com,0,0,0,0,0,5,0,0,15,1,0
waatp.com,0,0,0,0,0,3,0,0,7,0,0
lacanadaair.com,0,0,0,0,0,0,0,0,0,0,0
sprint.com,0,0,0,0,0,5,0,1,0,1,0
filmreference.com,0,0,0,0,0,3,0,0,1,0,0
spoke.com,0,0,0,0,0,4,0,0,0,0,0
mododl.com,0,0,0,0,0,1,0,0,11,0,0
torcache.net,0,0,1,0,0,2,0,0,34,0,0
hrsmart.com,0,0,0,0,0,2,0,1,0,0,0
,1,0,1,0,0,2,0,0,4,1,0
articlesbase.com,0,0,0,0,0,2,0,0,6,0,0
winfield.k12.mo.us,1,0,0,0,0,0,0,0,2,1,0
yelp.com,0,0,0,0,0,2,0,0,0,0,0
20poundsofheadlines.wordpress.com,0,0,0,0,0,4,0,0,10,0,0
news.yahoo.com,0,0,0,0,0,1,0,0,9,0,0
juneauempire.com,0,0,0,0,0,3,0,0,15,0,0
transmission.virb.com,0,0,0,0,0,0,0,0,0,0,0
dartmouth.edu,0,0,0,0,0,4,0,0,8,1,0
amazon.com,0,0,0,0,0,3,0,0,10,0,0
reed-city-michigan.apartmenthomeliving.com,0,0,0,1,0,0,0,0,0,0,0
columbiamissourian.com,0,0,0,0,0,5,0,0,8,0,0
allposters.com,0,0,0,0,0,2,0,0,5,1,0
militaryaviationmuseum.org,0,0,0,0,0,2,0,0,0,0,0
wiki.openmoko.org,0,0,0,0,0,2,0,0,0,0,0
mylife.com,0,0,0,0,0,1,0,0,0,0,0
indianjobtalks.com,0,0,0,0,0,2,0,0,5,0,0
vintage-views.com,0,0,0,1,0,1,0,0,0,0,0
smallseotools.com,0,0,0,0,0,2,0,0,0,0,0
chictopia.com,0,0,0,0,0,2,0,0,0,0,0
kuathletics.com,0,0,0,0,0,4,0,0,2,0,0
thenhf.com,0,0,0,0,0,1,0,0,4,0,0
baseball-almanac.com,0,0,0,1,0,2,0,0,2,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
allstarpics.net,0,0,0,0,0,2,0,0,0,0,0
linkedin.com,0,0,0,0,0,2,0,0,0,0,0
facebook.com,0,0,0,0,0,3,0,0,10,0,0
metrolyrics.com,0,0,0,0,0,1,0,0,0,0,0
museumex.org,1,0,0,0,0,1,0,0,0,1,0
freebase.com,0,0,0,0,0,3,0,0,0,0,0
ilike.com,0,0,0,0,0,4,0,0,4,0,0
imtl.org,0,0,0,0,0,2,0,0,0,0,0
bossgoo.com,0,0,0,0,0,1,0,0,0,0,0
icehockey.wikia.com,0,0,0,0,0,2,0,0,4,0,0
distractify.com,0,0,0,0,0,10,0,0,24,0,0
torcache.net,0,0,1,0,0,2,0,0,27,0,0
uk.ps3.ign.com,0,0,1,0,0,3,0,0,12,1,0
manta.com,0,0,0,0,0,3,0,0,0,0,0
paytm.com,0,0,0,0,0,2,0,0,4,0,0
videosurf.com,0,0,0,0,0,1,0,0,5,0,0
eagleeyecalendar.com,1,0,0,0,0,0,0,0,0,1,0
classreport.org,0,0,0,0,0,5,0,0,4,0,0
spiderbites.nytimes.com,0,0,0,0,0,2,0,0,5,0,0
